AnalysisDate,Metric,DimensionSet,TAvg,TN,TSD,CAvg,CN,CSD,Delta,Delta_SE,PercentDelta,PercentDelta_SE
4/13/2013 12:00:00 AM,DsQ/UU,RAWMUID,3.82366389557726,10519088,6.18352582170024,3.83339795169728,1173557,6.14196867770487,-0.00973405612001965,0.00598161647772678,-0.00253927618334271,0.00156039538631212
4/13/2013 12:00:00 AM,OverallPCR,RAWMUID,0.732210185442042,10342832,0.353832344002038,0.730564213387492,1153620,0.354704994737546,0.00164597205454997,0.000348089550285329,0.00225301489504659,0.000476466741604138
4/13/2013 12:00:00 AM,OverallPLT,RAWMUID,1521.78061965343,10255460,1995.60423401671,1495.42088269369,1143939,2001.73183266058,26.3597369597401,1.97257997632493,0.017626968611177,0.0013190801326592
4/13/2013 12:00:00 AM,Revenue/UU,RAWMUID,0.202720144560063,10519088,1.42125590702456,0.2044678443399,1173557,1.33969212763049,-0.00174769977983702,0.001312011851323,-0.00854755321297229,0.00641671484119509
4/13/2013 12:00:00 AM,Sessions/UU,RAWMUID,1.78064077418118,10519088,1.33158227411572,1.7802944381909,1173557,1.33171131179485,0.00034633599028,0.00129604806846018,0.000194538601508976,0.000727996471065311
4/13/2013 12:00:00 AM,SessionSuccessRate,RAWMUID,0.797029112760994,10519088,0.378871368306135,0.794859505904975,1173557,0.380316152273949,0.00216960685601897,0.000369993995497872,0.00272954759916821,0.000465483513437537
4/14/2013 12:00:00 AM,DsQ/UU,RAWMUID,3.91240394151246,10816457,6.26928681671517,3.91814241167519,1205154,6.22121547730763,-0.0057384701627301,0.00597902327574566,-0.00146458948139061,0.00152598416482502
4/14/2013 12:00:00 AM,OverallPCR,RAWMUID,0.726020061772288,10657385,0.357146653027325,0.724565237514688,1186978,0.357651979062133,0.00145482425759991,0.00034602570834826,0.00200785820554961,0.000477563220580597
4/14/2013 12:00:00 AM,OverallPLT,RAWMUID,1597.13780653837,10556158,2002.55320809939,1570.69723833861,1177004,2007.62729803529,26.4405681997598,1.95046749826787,0.0168336504033884,0.00124178450859884
4/14/2013 12:00:00 AM,Revenue/UU,RAWMUID,0.208972705202824,10816457,1.40800753441233,0.214763723142437,1205154,1.41188520002153,-0.00579101793961301,0.0013554936632323,-0.0269646002354516,0.00631155785250242
4/14/2013 12:00:00 AM,Sessions/UU,RAWMUID,1.78981518624814,10816457,1.33763290071624,1.79104081304132,1205154,1.33822581068854,-0.00122562679318006,0.00128507260017787,-0.000684309807043926,0.000717500456059244
4/14/2013 12:00:00 AM,SessionSuccessRate,RAWMUID,0.793542804397043,10816457,0.381197747137034,0.791750392123135,1205154,0.38214738604467,0.00179241227390792,0.000366893787215981,0.0022638602920062,0.000463395775822894
4/15/2013 12:00:00 AM,DsQ/UU,RAWMUID,3.82174756777425,17101517,6.0488644531007,3.82195693277311,1904000,5.97487439513176,-0.000209364998859929,0.0045704533438967,-5.47795285353869E-05,0.00119584114219218
4/15/2013 12:00:00 AM,OverallPCR,RAWMUID,0.729782411965029,16931602,0.34623142614447,0.729572577335343,1884834,0.346217975627119,0.000209834629686045,0.000265848618214517,0.000287613098689077,0.00036438954323844
4/15/2013 12:00:00 AM,OverallPLT,RAWMUID,1465.63762281687,16768409,1669.71831438483,1437.68327122237,1868196,1666.62209692094,27.9543515944999,1.28571386265622,0.0194440264793039,0.000894295627132851
4/15/2013 12:00:00 AM,Revenue/UU,RAWMUID,0.20402638081756,17101517,1.53046183140772,0.208560698529411,1904000,1.52200783366819,-0.004534317711851,0.00116345112596123,-0.0217409979148664,0.00557847731698673
4/15/2013 12:00:00 AM,Sessions/UU,RAWMUID,1.80052629249206,17101517,1.31358328469226,1.80029516806723,1904000,1.31251377680004,0.000231124424830087,0.00100283247385188,0.000128381405965827,0.00055703780782154
4/15/2013 12:00:00 AM,SessionSuccessRate,RAWMUID,0.808278863387548,17101517,0.366111784366329,0.807673892081044,1904000,0.366357669754009,0.000604971306503943,0.000279875671460955,0.000749029171842164,0.000346520636862274
4/16/2013 12:00:00 AM,DsQ/UU,RAWMUID,3.79577266552164,16913211,5.95753957794423,3.80516921508935,1883845,5.98851708100377,-0.00939654956771019,0.00459731129861571,-0.00246941700528014,0.00120817525811602
4/16/2013 12:00:00 AM,OverallPCR,RAWMUID,0.728443723042772,16746534,0.347062770031906,0.728362460044508,1864971,0.346971974193737,8.12629982640534E-05,0.000267853930560834,0.000111569448896454,0.000367748127140526
4/16/2013 12:00:00 AM,OverallPLT,RAWMUID,1426.81033406076,16628172,1692.15477978418,1397.21525178693,1851987,1669.40805158394,29.59508227383,1.29500182462326,0.0211814766808336,0.000926844895922126
4/16/2013 12:00:00 AM,Revenue/UU,RAWMUID,0.186287108935139,16913211,1.41194848202149,0.191002853207137,1883845,1.45236497469916,-0.004715744271998,0.00111246768730047,-0.024689391769891,0.0058243511477498
4/16/2013 12:00:00 AM,Sessions/UU,RAWMUID,1.78267668983731,16913211,1.29527157925056,1.78448120731801,1883845,1.29771709214816,-0.00180451748069999,0.000996568981420403,-0.00101122806634213,0.000558464262517059
4/16/2013 12:00:00 AM,SessionSuccessRate,RAWMUID,0.807949990218425,16913211,0.36704813845576,0.807636678108651,1883845,0.36718871423891,0.000313312109773922,0.000282021335253017,0.000387936950198453,0.000349193322811271
4/17/2013 12:00:00 AM,DsQ/UU,RAWMUID,3.77824549154774,16849574,5.87716257654949,3.7809336864882,1876797,5.92209825237757,-0.00268819494046024,0.00455375902260896,-0.000710987063874402,0.00120440065872686
